name
Veneziano Vital do Rêgo
Rodrigo Pacheco
Senadores
Deus
Sras
Senadoras
Parlamentar
Deputado Federal Gilson Daniel
Presidente Manoel Linhares
V. Sas
Casa
Poderes
Sr. Orlando de Souza
Sr. Leonardo Volpatti
Deputado Gilson Daniel
Sr. Thiago de Mattos Marques
Sr. Doreni Caramori
Sr. Alexandre Sampaio de Abreu
Serginho
Manoel Linhares
Câmara
Presidente Sr. Manoel Cardoso Linhares
Baixinho
V. Sa
MANOEL CARDOSO LINHARES
Senador Veneziano
Gilson Daniel
Orlando Souza
Léo Volpatti
Léo
Thiago de Mattos
Quero
Deputado
Marx Beltrão
Deputado Felipe Carreras
Senadora Daniella Ribeiro
Meu Presidente
Agradeço
MANOEL CARDOSO LINHARES - Obrigado
Flávio
Sr. Presidente
Baixinho da Hotelaria
Baixinho do Turismo
Parlamentares
Senador
V. Exa
Perse
Querido Presidente
Parabéns
Dr. Orlando Souza
Deputado Joaquim Passarinho
Laércio Oliveira
Sr. Orlando Souza
Sr. Orlando
Manoelzinho
Manoelzinho Linhares
FGI-Peac
augusta Casa
Querido
Flávio Bolsonaro
Senador Flávio Bolsonaro
Senador Marcos Rogério
Paulo Guedes
Grato
Sr. Senador Presidente Veneziano
Deputados Federais
Presidentes
Toni Sando
Senador Efraim Filho
Deputada Renata Abreu
Senador Jorge Seif
Paulo Octávio
Presidente Veneziano
Leonardo
PL
Casa do Povo
Presidente Senador Veneziano
Sr. Presidente Veneziano
Presidente Lula
Sr. Thiago de Mattos
Orlando
Dr. Thiago de Mattos Marques
Sra. Dra
Lirian Cavalheiro
Querido Senador Izalci
Comissões
Líder Efraim
Casa do Congresso Nacional
Lirian
LIRIAN CAVALHEIRO
Alexandre Sampaio
Dr. Thiago
Simone Scorsato
Simone
Toni
Senador Izalci
LIRIAN CAVALHEIRO - Eu
LIRIAN CAVALHEIRO - Viva o Perse
Desculpem-me
Perdoe-me
Lírian
Senador Efraim Morais
LIRIAN CAVALHEIRO - Contem...
Efraim
Deputado Ruy Carneiro
Gilson
Renata Abreu
Deputado Gilson
Senador Portinho
Daniella Ribeiro
CARLOS PORTINHO
Difícil
Lula
Senador Carlos Portinho
GILSON DANIEL
Deputado Marx Beltrão
Vice-Presidente da Frente Parlamentar
Deputados
Dr. Doreni
DORENI CARAMORI
Manoel
Senadora
Felipe
Renata
Fred Costa
Adolfinho
DORENI CARAMORI - Será
Dr. Doreni Caramori
Sra. Deputada Greyce Elias
Greyce Elias
Deputada Greyce
Deputado Federal Vermelho
Presidente Gilson Daniel
Coordenador
Veneziano
Jaime
Nilson de Nadai
Camilo Rorato
Nilson
Guedes
MARX
Presidente Gilson
Ministro Haddad
V. Exas
Querido Deputado
ROBINSON FARIA
Presidente Baixinho
Deputado Robinson Faria
Sra. Deputada Federal
Magda Mofatto
Deputado Eduardo Bismarck
Sr. Manoel Linhares
Leonardo Volpatti
Sr. Philipe Lemos
Flávio Peruzzi
Rodrigo
Deputado Robinson
Nei Habib
